Year,D_Area,Hist_Mean,Ann_Mean,Hist_Max,Ann_Max,Hist_Min,Ann_Min,Hist_MaxQs,Ann_MaxQs
2010,309.86,24.7,35.33,-,-,0,-,36348,21634
2010,1506,104.87,96.22,11900,2780.2,0,0,56000,6381
2010,1538.81,104.06,64.88,14300,1978.5,0,15.47,33400,3031
2010,1584.29,93.09,66.66,12800,1946.7,0,0.11,87417,3637
2009,750.76,62.33,-,5560,956.12,0,2.21,5585,1290
2009,820.69,63.6,49.64,5420,2519.86,2.85,10.53,118000,1020
2009,221.73,44.21,12.96,4052,525,0.37,0.49,18900,459
2009,247.28,13.8,16.82,5776,1470,0.36,0.79,49693,1473
2009,437.58,29.05,30.3,2960,1726.54,3.92,1.54,105667,609
2009,1051.04,56.32,-,16649.7,1625.52,0,3.31,2998,2998
2009,2906.32,149.29,110.81,28000,16883.42,0.27,6.33,105500,33300
2009,597.46,25.17,28.2,3740,1262.12,0,6.11,16534,5741
2009,282.89,13.01,16.42,2660,1204.51,0.06,0.75,11160,11160
2009,441.02,20.89,-,5980,2295.6,0,3.58,39364,27205
2009,226.66,9.17,9.82,1600,1033.3,0,0.99,77965,1656
2009,160.53,9.69,10.27,9230,2154.35,0,0,69800,39642
2009,146.46,5.84,8.21,970.86,970.86,0,0,37380,1329
2009,139.62,8.31,-,1770,968.27,0,0.09,753353,5784
2009,812.03,68.48,-,6500,1074.68,0,6.08,47465,1025
2009,175.3,16.21,-,1690,895.78,0.29,0.71,7380,2274
2009,309.86,24.7,35.33,5265.74,5265.74,0,0.25,36348,36348
2009,1506,105.08,120.73,11900,4350,0,12.04,56000,17296
2009,1538.81,105.04,119.57,14300,4182,0,0,33400,15038
2009,1584.29,93.54,-,12800,8229.63,0,0.28,87417,3637
2007,750.76,62.33,-,5560,5384.26,0,0.17,5585,1245
2007,820.69,62.97,93.22,4771,4129.4,2.85,17.54,118000,14482
2007,221.73,14.68,-,4052,4052,0.37,2.13,18900,42
2007,247.28,13.66,-,5776..00,5776..00,0.36,2.19,49693,36
2007,437.58,29,44.47,2960,358.84,3.92,18.46,105667,354
2007,1980.65,112.78,-,16390.8,-,5.41,-,21500,-
2007,2906.32,148.95,-,28000,9600,0.27,8.52,105500,105500
2007,597.46,24.9,29.02,3740,1072,0,6.57,16534,12527
2007,282.89,11.79,18.83,2660,1503,0.06,1.7,8542,4553
2007,441.02,20.52,37.04,5980,2291,0,6.03,39364,4158
2007,226.66,8.98,16.95-,1600,940,0,1.76,77965,2885
2007,160.53,9.5,11.39,9230,1763.91,0,0.12,69800,1771
2007,146.46,5.66,-,758.74,758.74,0,0,37380,2983
2007,139.62,8.13,11.77,1770,1114.7,0,0.08,753353,17616
2007,812.03,68.19,91.12,6500,1138.57,0,0.58,47465,10524
2007,175.3,16.17,18.09,1690,608,0.29,0.49,5188,320
2007,309.86,24.47,25.4,4350,1040,0,2.49,28706,676
2007,1506,104.01,186.95,11900,11025,16.5,28.44,56000,0
2007,1538.81,104.91,140.6,14300,8176.5,7.64,7.64,33400,7757
2007,1584.29,94.81,90.94,12800,2070.36,0,0,87417,27254
2006,94.75,12.73,-,1900,138.55,0,-,5585,623
2006,820.69,62.43,84.59,4771,603.07,2.85,18.95,118000,1810
2006,221.73,14.68,22.94,3246,703,0.37,0.45,18900,187
2006,247.28,13.66,-,3640,2111,0.36,1.29,49693,359
2006,599.32,36.31,-,12090,195,0.47,112.49,105667,787
2006,1980.65,112.78,-,16390.8,355,5.41,24.44,21500,520
2006,2906.32,148.95,213.95,28000,10000,0.27,5.13,82800,82800
2006,597.46,24.82,27.32,3740,771.2,0,9.86,16534,2629
2006,282.89,11.01,-,2660,2037,0.06,3.06,8542,4024
2006,441.02,20.17,36.21,5980,2347,0,6.8,39364,12176
2006,226.66,8.8,18.49,1600,815.2,0,1.72,77965,5816
2006,160.53,9.46,10.3,9230,1075.64,0,0,69800,1172
2006,146.46,5.66,-,725,616.93,0,0.38,37380,678
2006,139.62,8.17,11.36,1770,931.93,0,0,753353,4978
2006,812.03,67.49,67.27,6500,550,0,5.8,47465,6553
2006,175.3,16.13,15.03,1690,690,0.29,0.77,5188,983
2006,309.86,24.52,22.86,4350,600.12,0,2.64,28706,4152
2006,1506,101.77,156.54,11900,4080.5,16.5,50.24,56000,9956
2006,1538.81,103.95,107.29,14300,3096,11,20.78,33400,3523
2006,1584.29,94.88,113.07,12800,2560,0.41,1.3,87417,11086
