Year,D_Area,Hist_Mean,Ann_Mean,Hist_Max,Ann_Max,Hist_Min,Ann_Min,RiverCoeff,Hist_MaxQs,Ann_MaxQs
1995,820.69,62.02,51.97,4580.00,691.00,2.85,14.40,1607,118000,21700
1995,221.73,13.72,9.64,1910.00,126.00,0.37,1.39,5162,18900,130
1995,247.28,13.24,10.71,3640.00,279.00,0.36,0.70,10111,49693,1300
1995,633.18,30.85,25.52,6340.00,700.00,0.06,0.50,105667,24500,2380
1995,417.08,24.76,19.01,1471.64,105.00,3.30,4.65,446,49253,49253
1995,1980.65,117.48,117.96,13500.00,2900.00,5.41,37.50,23276,21500,261
1995,2090.62,85.11,57.85,6020.00,1120.00,6.00,24.60,1387,37170,4819
1995,597.46,24.57,13.71,3640.00,290.00,0.00,5.60,-,16534,3456
1995,149.68,7.46,6.16,1810.00,360.00,0.00,0.17,-,8240,3115
1995,441.02,18.41,10.96,5980.00,235.00,0.00,2.09,-,36300,2251
1995,226.66,8.59,4.85,1600.00,106.00,0.00,0.58,-,23833,1756
1995,1115.90,27.24,5.12,4000.00,355.00,0.00,0.01,-,160996,5577
1995,146.46,5.32,2.43,608.00,113.00,0.00,0.01,-,37380,96
1995,139.62,8.19,3.91,1770.00,252.00,0.02,0.05,88500,753353,32183
1995,812.03,68.02,36.69,6160.00,1000.00,0.00,7.20,-,47465,7013
1995,175.30,16.41,8.69,1690.00,334.00,0.34,2.04,4971,2388,142
1995,309.86,22.97,17.00,4350.00,758.00,0.00,0.33,-,28706,875
1995,1506.00,97.39,80.41,11900.00,1620.00,16.50,32.20,717,56000,4190
1995,1538.81,103.40,96.96,14300.00,2360.00,12.00,35.80,1135,33400,4510
1995,1584.29,94.78,87.77,12800.00,6700.00,0.41,2.97,31220,64000,30591
1994,622.80,36.25,50.01,9110.00,2488.00,1.37,1.65,6650,35715,6128
1994,820.69,62.24,83.46,4580.00,3350.00,2.85,8.25,1607,118000,58700
1994,221.73,13.89,17.59,1910.00,1030.00,0.37,1.55,5162,18900,18900
1994,247.28,13.30,19.14,3640.00,1460.00,0.36,1.20,10111,49693,1020
1994,633.18,31.04,50.30,6340.00,3170.00,0.06,0.31,105667,24500,3710
1994,417.08,25.00,30.87,1471.64,1180.00,3.30,3.30,446,4692,2588
1994,1980.65,117.47,154.26,13500.00,9980.00,5.41,16.20,23276,21500,6075
1994,2090.62,88.52,107.16,6020.00,5420.00,6.00,14.50,1387,37170,32339
1994,597.46,24.83,19.94,3640.00,570.00,0.00,2.68,-,16534,2616
